Year,Date,Start Date,End Date,Total Days,Maximum accumulation,Lowest pressure,Type,Category
2021,January 25–February 3,1/25/2021,2/3/2021,9,36.1 inches (92 cm),984 hPa (29.1 inHg),Blizzard,Category 3
2021,February 6–8,2/6/2021,2/8/2021,2,14 inches (36 cm),960 hPa (28 inHg),Storm,N/A
2021,February 13–17,2/13/2021,2/17/2021,4,26 inches (66 cm),960 hPa (28 inHg),Blizzard,Category 3
2021,February 15–20,2/15/2021,2/20/2021,5,24 inches (61 cm),948 hPa (28.0 inHg),Storm,Category 3
2021,March 10–16,3/10/2021,3/16/2021,6,52.5 inches (133 cm),980 hPa (29 inHg),Blizzard,Category 3
2021,March 16–17,3/16/2021,3/17/2021,1,6.2 inches (16 cm),997 hPa (29.4 inHg),Blizzard,N/A
2021,April 15–17,4/15/2021,4/17/2021,2,14 inches (36 cm),988 hPa (29.2 inHg),Storm,N/A
2022,January 1–4,1/1/2022,1/4/2022,3,15.5 inches (39 cm),980 hPa (29 inHg),Storm,N/A
2022,January 14–17,1/14/2022,1/17/2022,3,27.5 inches (70 cm),981 hPa (29.0 inHg),Storm,Category 2
2022,January 28–30,1/28/2022,1/30/2022,2,30.4 inches (77 cm),969 hPa (28.6 inHg),Blizzard,Category 1
2022,February 1–5,2/1/2022,2/5/2022,4,37 inches (94 cm),"1,004 hPa (29.6 inHg)",Storm,Category 2
